"Date of Download: 2023-07-21_19:02:51"
"Search Parameters: Data Level:all  Trait List:  Trial List:7674,8094,7658,7675,7656,7660,9226,7668,7659,7662,7657,7665,7669,7670,9365,9472,9366,9348,9477,10336,9376,10335,10542,10649,11057,10978,11213,10794,11501  Accession List:  Plot List:  Plant List:  Location List:  Year List:2020,2021,2022  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Cassava anthracnose disease severity|month 5|COMP:0000273","Cassava anthracnose disease severity|month 7|COMP:0000274","Cassava bacterial blight severity|month 5|COMP:0000271","Cassava bacterial blight severity|month 7|COMP:0000272","Change in weight after boiling computation percentage|month 10|boiling time 20 minutes|COMP:0000224","Change in weight after boiling computation percentage|month 10|boiling time 30 minutes|COMP:0000225","Total carotenes ug/g NIRS 400-2500 nm|CO_334:0001051","beta carotene content ug/g NIRS 400-2500 nm|CO_334:0001053","branching level counting|CO_334:0000079","cassava anthractnose disease severity in 3-month|CO_334:0000218","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","dry matter content by specific gravity method|CO_334:0000160","dry matter content by table-top NIRS in percentage|CO_334:0002057","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","frog skin disease : visual 1-5|CO_334:0000093","hydrogen cyanide ug/g wet basis|month 10|COMP:0000322","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","lodged plants estimation 1-3|month 6|COMP:0000208","marketable root number counting|CO_334:0000169","marketable root weight measurement in kg|CO_334:0000131","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root flesh color 25% center ring visual rating 1-8|CO_334:0002080","root flesh color 25% outer ring visual rating 1-8|CO_334:0002081","root flesh color 50% inner ring visual rating 1-8|CO_334:0002079","root length evaluation scaled 1-3|CO_334:0000226","root number per plot counting|CO_334:0000011","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","thrips severity : visual 1-5|at harvesting|COMP:0000282","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169824","SM4289-438","","plot","2301547","202039BCPRC_pivi_rep1_SM4289-438_10","1","1","10","1","10","test","","","","","","","","","","","","","","","","","","","","4","","1","","","","10","","","","","","","","","","","","","","","","4","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169830","SM4291-1","","plot","2301539","202039BCPRC_pivi_rep1_SM4291-1_13","1","1","13","1","13","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","2","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169833","SM4292-11","","plot","2301509","202039BCPRC_pivi_rep1_SM4292-11_7","1","1","7","1","7","test","","","","","","","","","","","","","","","","","","","","4","","1","","","","10","","","","","","","","","","","","","","","","2","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169838","SM4320-56","","plot","2301494","202039BCPRC_pivi_rep1_SM4320-56_3","1","1","3","1","3","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","1","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169842","SM4354-18","","plot","2301543","202039BCPRC_pivi_rep1_SM4354-18_22","1","1","22","2","19","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169845","SM4357-2","","plot","2301480","202039BCPRC_pivi_rep1_SM4357-2_26","1","1","26","2","15","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169848","SM4376-3","","plot","2301549","202039BCPRC_pivi_rep1_SM4376-3_8","1","1","8","1","8","test","","","","","","","","","","","","","","","","","","","","4","","1","","","","10","","","","","","","","","","","","","","","","1","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169883","SM4423-1","","plot","2301500","202039BCPRC_pivi_rep1_SM4423-1_9","1","1","9","1","9","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169884","SM4433-12","","plot","2301505","202039BCPRC_pivi_rep1_SM4433-12_4","1","1","4","1","4","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169892","SM4471-21","","plot","2301530","202039BCPRC_pivi_rep1_SM4471-21_6","1","1","6","1","6","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169896","SM4471-44","","plot","2301498","202039BCPRC_pivi_rep1_SM4471-44_15","1","1","15","1","15","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","1","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169898","SM4471-64","","plot","2301545","202039BCPRC_pivi_rep1_SM4471-64_25","1","1","25","2","16","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169906","SM4483-2","","plot","2301503","202039BCPRC_pivi_rep1_SM4483-2_19","1","1","19","1","19","test","","","","","","","","","","","","","","","","","","","","4","","1","","","","10","","","","","","","","","","","","","","","","2","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169918","SM4487-7","","plot","2301518","202039BCPRC_pivi_rep1_SM4487-7_12","1","1","12","1","12","test","","","","","","","","","","","","","","","","","","","","4","","1","","","","10","","","","","","","","","","","","","","","","1","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","147207","TAI8","Tai8","plot","2301477","202039BCPRC_pivi_rep1_Tai8_27","1","1","27","2","14","test","","","","","","","","","","","","","","","","","","","","4","","1","","","","10","","","","","","","","","","","","","","","","10","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2300860","Venezolana","","plot","2301554","202039BCPRC_pivi_rep1_Venezolana_16","1","1","16","1","16","test","","","","","","","","","","","","","","","","","","","","4","","1","","","","10","","","","","","","","","","","","","","","","7","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2300861","Veronica","VERONICA","plot","2301491","202039BCPRC_pivi_rep1_Veronica_17","1","1","17","1","17","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","10","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","236646","SMB2446-2","Caiseli,Caiselli,CAISELLI","plot","2301531","202039BCPRC_pivi_rep2_Caiselli_53","2","2","53","3","13","test","","","","","","","","","","","","","","","","","","","","4","","1","","","","10","","","","","","","","","","","","","","","","10","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","271094","COSTENA","Costena","plot","2301516","202039BCPRC_pivi_rep2_Costena_43","2","2","43","3","3","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","9","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169480","GM9400-1","","plot","2301481","202039BCPRC_pivi_rep2_GM9400-1_32","2","2","32","2","9","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169483","GM9411-1","","plot","2301519","202039BCPRC_pivi_rep2_GM9411-1_42","2","2","42","3","2","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","3","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169484","GM9418-8","","plot","2301508","202039BCPRC_pivi_rep2_GM9418-8_50","2","2","50","3","10","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169487","GM9458-6","","plot","2301515","202039BCPRC_pivi_rep2_GM9458-6_35","2","2","35","2","6","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","1","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169489","GM9464-1","","plot","2301533","202039BCPRC_pivi_rep2_GM9464-1_37","2","2","37","2","4","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","323773","SM3536-44","","plot","2301495","202039BCPRC_pivi_rep2_SM3536-44_49","2","2","49","3","9","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","7","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169810","SM4286-218","","plot","2301474","202039BCPRC_pivi_rep2_SM4286-218_44","2","2","44","3","4","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","1","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169820","SM4289-179","","plot","2301553","202039BCPRC_pivi_rep2_SM4289-179_38","2","2","38","2","3","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","4","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169824","SM4289-438","","plot","2301511","202039BCPRC_pivi_rep2_SM4289-438_30","2","2","30","2","11","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","1","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169830","SM4291-1","","plot","2301478","202039BCPRC_pivi_rep2_SM4291-1_48","2","2","48","3","8","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","2","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169833","SM4292-11","","plot","2301526","202039BCPRC_pivi_rep2_SM4292-11_51","2","2","51","3","11","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","1","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169838","SM4320-56","","plot","2301496","202039BCPRC_pivi_rep2_SM4320-56_41","2","2","41","3","1","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","1","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169842","SM4354-18","","plot","2301552","202039BCPRC_pivi_rep2_SM4354-18_34","2","2","34","2","7","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169845","SM4357-2","","plot","2301523","202039BCPRC_pivi_rep2_SM4357-2_33","2","2","33","2","8","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169848","SM4376-3","","plot","2301502","202039BCPRC_pivi_rep2_SM4376-3_54","2","2","54","3","14","test","","","","","","","","","","","","","","","","","","","","4","","1","","","","10","","","","","","","","","","","","","","","","2","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169883","SM4423-1","","plot","2301537","202039BCPRC_pivi_rep2_SM4423-1_47","2","2","47","3","7","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169884","SM4433-12","","plot","2301524","202039BCPRC_pivi_rep2_SM4433-12_40","2","2","40","2","1","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169892","SM4471-21","","plot","2301497","202039BCPRC_pivi_rep2_SM4471-21_45","2","2","45","3","5","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","1","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169896","SM4471-44","","plot","2301490","202039BCPRC_pivi_rep2_SM4471-44_36","2","2","36","2","5","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169898","SM4471-64","","plot","2301544","202039BCPRC_pivi_rep2_SM4471-64_46","2","2","46","3","6","test","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","0","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169906","SM4483-2","","plot","2301546","202039BCPRC_pivi_rep2_SM4483-2_31","2","2","31","2","10","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","5","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2169918","SM4487-7","","plot","2301487","202039BCPRC_pivi_rep2_SM4487-7_39","2","2","39","2","2","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","1","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","147207","TAI8","Tai8","plot","2301507","202039BCPRC_pivi_rep2_Tai8_29","2","2","29","2","12","test","","","","","","","","","","","","","","","","","","","","3","","1","","","","10","","","","","","","","","","","","","","","","10","","","","",""," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","7656","202039BCPRC_pivi","PRC","RCBD","3.2","4","","","","2020-July-07","","332","Pivijay","2300860","Venezolana","","plot","2301514","202039BCPRC_pivi_rep2_Venezolana_52","2","2","52","3","12","test","","","","","","","","","","","","","","","","","","","","4","","1","","","","10","","","","","","","","","","","","","","","","10","","","","",""," (Operator: lizbethpino, Time: )"
